run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20220601-17:46:38-6427,vector,World.node[0].vanetza[0].dcc,cbrRecorder,,,"0.635994902626 0.735994902626 0.835994902626 0.935994902626 1.035994902626 1.135994902626 1.235994902626 1.335994902626 1.435994902626 1.535994902626 1.635994902626 1.735994902626 1.835994902626 1.935994902626 2.035994902626 2.135994902626 2.235994902626 2.335994902626 2.435994902626 2.535994902626 2.635994902626 2.735994902626 2.835994902626 2.935994902626 3.035994902626 3.135994902626 3.235994902626 3.335994902626 3.435994902626 3.535994902626 3.635994902626 3.735994902626 3.835994902626 3.935994902626 4.035994902626 4.135994902626 4.235994902626 4.335994902626 4.435994902626 4.535994902626 4.635994902626 4.735994902626 4.835994902626 4.935994902626","0 0 0 0 0 0 0 0 0 0.00232 0 0.00232 0 0.00232 0 0.00232 0 0.00232 0.00232 0.00232 0 0.00464 0 0.00232 0.00232 0 0.00232 0.00232 0.00232 0 0.00464 0 0.00232 0.00232 0.00232 0 0.00464 0.00232 0.00232 0.00232 0.00464 0 0.00696 0.00232"
General-0-20220601-17:46:38-6427,vector,World.node[0].middleware.CA,sendCamCases,,,"0.690876252856 0.890876252856 1.090876252856 1.290876252856 1.490876252856 1.790876252856 2.090876252856 2.390876252856 2.690876252856 2.990876252856 3.290876252856 3.590876252856 3.890876252856 4.190876252856 4.490876252856 4.790876252856","2 2 3 3 3 2 2 2 2 2 2 2 2 2 2 2"
General-0-20220601-17:46:38-6427,vector,World.node[0].middleware.CA,timeIntervalMessages,,,"0.690876252856 0.890876252856 1.090876252856 1.290876252856 1.490876252856 1.790876252856 2.090876252856 2.390876252856 2.690876252856 2.990876252856 3.290876252856 3.590876252856 3.890876252856 4.190876252856 4.490876252856 4.790876252856","0.15488135023 0.2 0.2 0.2 0.2 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3"
General-0-20220601-17:46:38-6427,vector,World.node[0].middleware.CA,sentCams,,,"0.690876252856 0.890876252856 1.090876252856 1.290876252856 1.490876252856 1.790876252856 2.090876252856 2.390876252856 2.690876252856 2.990876252856 3.290876252856 3.590876252856 3.890876252856 4.190876252856 4.490876252856 4.790876252856","1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16"
General-0-20220601-17:46:38-6427,vector,World.node[0].middleware.CA,transmission:vector(camStationId),,,"0.690876252856 0.890876252856 1.090876252856 1.290876252856 1.490876252856 1.790876252856 2.090876252856 2.390876252856 2.690876252856 2.990876252856 3.290876252856 3.590876252856 3.890876252856 4.190876252856 4.490876252856 4.790876252856","1804289383 1804289383 1804289383 1804289383 1804289383 1804289383 1804289383 1804289383 1804289383 1804289383 1804289383 1804289383 1804289383 1804289383 1804289383 1804289383"
General-0-20220601-17:46:38-6427,attr,World.node[0].middleware.CA,transmission:vector(camStationId),source,CamSent,,
General-0-20220601-17:46:38-6427,vector,World.node[0].middleware.CA,transmission:vector(camGenerationDeltaTime),,,"0.690876252856 0.890876252856 1.090876252856 1.290876252856 1.490876252856 1.790876252856 2.090876252856 2.390876252856 2.690876252856 2.990876252856 3.290876252856 3.590876252856 3.890876252856 4.190876252856 4.490876252856 4.790876252856","62584 62784 62984 63184 63384 63684 63984 64284 64584 64884 65184 65484 248 548 848 1148"
General-0-20220601-17:46:38-6427,attr,World.node[0].middleware.CA,transmission:vector(camGenerationDeltaTime),source,CamSent,,
General-0-20220601-17:46:38-6427,vector,World.node[0].middleware.CA,CamSize,,,"0.690876252856 0.890876252856 1.090876252856 1.290876252856 1.490876252856 1.790876252856 2.090876252856 2.390876252856 2.690876252856 2.990876252856 3.290876252856 3.590876252856 3.890876252856 4.190876252856 4.490876252856 4.790876252856","62 60 60 62 60 62 60 62 60 62 60 62 60 62 60 62"
General-0-20220601-17:46:38-6427,vector,World.node[1],posX:vector,,,"1.285082081473 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2 2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3 3.1 3.2 3.3 3.4 3.5 3.6 3.7 3.8 3.9 4 4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5","109.87478430328 109.92377413049 109.99622595368 110.09196692455 110.20819447493 110.34766277763 110.51251468267 110.69674211434 110.89659607941 111.1209579349 111.36746294992 111.63290929633 111.91789662222 112.22138667488 112.53935570223 112.8789694012 113.24183786414 113.62668060243 114.03086993968 114.45917146515 114.9067632801 115.37072459945 115.84994815905 116.34725074332 116.86192561726 117.39873267551 117.95911583304 118.53974763369 119.13473686421 119.75478402886 120.39487775515 121.05492159831 121.73985894401 122.44633920594 123.1659054721 123.89863989449 124.65523739015 125.43554508607 126.24048698306"
General-0-20220601-17:46:38-6427,attr,World.node[1],posX:vector,source,xCoord(mobilityPos(mobilityStateChanged)),,
General-0-20220601-17:46:38-6427,vector,World.node[1],posY:vector,,,"1.285082081473 1.3 1.4 1.5 1.6 1.7 1.8 1.9 2 2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3 3.1 3.2 3.3 3.4 3.5 3.6 3.7 3.8 3.9 4 4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5","301.65 301.65 301.65 301.65 301.65 301.65 301.65 301.65 301.65 301.65 301.65 301.65 301.65 301.65 301.65 301.65 301.65 301.65 301.65 301.65 301.65 301.65 301.65 301.65 301.65 301.65 301.65 301.65 301.65 301.65 301.65 301.65 301.65 301.65 301.65 301.65 301.65 301.65 301.65"
General-0-20220601-17:46:38-6427,attr,World.node[1],posY:vector,source,yCoord(mobilityPos(mobilityStateChanged)),,
