run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20220601-17:46:38-6427,attr,World.node[3].middleware.CA,reception:vector(camGenerationDeltaTime),source,CamReceived,,
General-0-20220601-17:46:38-6427,vector,World.node[3].middleware.CA,sendCamCases,,,"4.22725637902 4.42725637902 4.62725637902 4.82725637902","2 3 3 3"
General-0-20220601-17:46:38-6427,vector,World.node[3].middleware.CA,timeIntervalMessages,,,"4.22725637902 4.42725637902 4.62725637902 4.82725637902","0.195715515432 0.2 0.2 0.2"
General-0-20220601-17:46:38-6427,vector,World.node[3].middleware.CA,sentCams,,,"4.22725637902 4.42725637902 4.62725637902 4.82725637902","1 2 3 4"
General-0-20220601-17:46:38-6427,vector,World.node[3].middleware.CA,transmission:vector(camStationId),,,"4.22725637902 4.42725637902 4.62725637902 4.82725637902","1714636915 1714636915 1714636915 1714636915"
General-0-20220601-17:46:38-6427,attr,World.node[3].middleware.CA,transmission:vector(camStationId),source,CamSent,,
General-0-20220601-17:46:38-6427,vector,World.node[3].middleware.CA,transmission:vector(camGenerationDeltaTime),,,"4.22725637902 4.42725637902 4.62725637902 4.82725637902","648 848 1048 1248"
General-0-20220601-17:46:38-6427,attr,World.node[3].middleware.CA,transmission:vector(camGenerationDeltaTime),source,CamSent,,
General-0-20220601-17:46:38-6427,vector,World.node[3].middleware.CA,CamSize,,,"4.22725637902 4.42725637902 4.62725637902 4.82725637902","62 60 60 62"
General-0-20220601-17:46:38-6427,vector,World.node[4],posX:vector,,,"4.64966247594 4.7 4.8 4.9 5","89.788853341852 89.648810032303 89.48362076885 89.300453388202 89.094135945798"
General-0-20220601-17:46:38-6427,attr,World.node[4],posX:vector,source,xCoord(mobilityPos(mobilityStateChanged)),,
General-0-20220601-17:46:38-6427,vector,World.node[4],posY:vector,,,"4.64966247594 4.7 4.8 4.9 5","398.35 398.35 398.35 398.35 398.35"
General-0-20220601-17:46:38-6427,attr,World.node[4],posY:vector,source,yCoord(mobilityPos(mobilityStateChanged)),,
General-0-20220601-17:46:38-6427,vector,World.node[4].middleware.CA,receivedCams,,,"4.745590760702 4.791108640519 4.827488795014 4.855911957642","1 2 3 4"
General-0-20220601-17:46:38-6427,vector,World.node[4].middleware.CA,reception:vector(camStationId),,,"4.745590760702 4.791108640519 4.827488795014 4.855911957642","846930886 1804289383 1714636915 1681692777"
General-0-20220601-17:46:38-6427,attr,World.node[4].middleware.CA,reception:vector(camStationId),source,CamReceived,,
General-0-20220601-17:46:38-6427,vector,World.node[4].middleware.CA,reception:vector(camGenerationDeltaTime),,,"4.745590760702 4.791108640519 4.827488795014 4.855911957642","1148 1148 1248 1248"
General-0-20220601-17:46:38-6427,attr,World.node[4].middleware.CA,reception:vector(camGenerationDeltaTime),source,CamReceived,,
General-0-20220601-17:46:38-6427,vector,World.node[4].vanetza[0].dcc,cbrRecorder,,,"4.74966247594 4.84966247594 4.94966247594","0.00232 0.00464 0.00232"
General-0-20220601-17:46:38-6427,vector,World.node[4].middleware.CA,sendCamCases,,,"4.801710223989","2"
General-0-20220601-17:46:38-6427,vector,World.node[4].middleware.CA,timeIntervalMessages,,,"4.801710223989","0.152047748049"
General-0-20220601-17:46:38-6427,vector,World.node[4].middleware.CA,sentCams,,,"4.801710223989","1"
General-0-20220601-17:46:38-6427,vector,World.node[4].middleware.CA,transmission:vector(camStationId),,,"4.801710223989","1957747793"
General-0-20220601-17:46:38-6427,attr,World.node[4].middleware.CA,transmission:vector(camStationId),source,CamSent,,
General-0-20220601-17:46:38-6427,vector,World.node[4].middleware.CA,transmission:vector(camGenerationDeltaTime),,,"4.801710223989","1248"
General-0-20220601-17:46:38-6427,attr,World.node[4].middleware.CA,transmission:vector(camGenerationDeltaTime),source,CamSent,,
General-0-20220601-17:46:38-6427,vector,World.node[4].middleware.CA,CamSize,,,"4.801710223989","62"
